Tagalog Sentence,Tagged Sentence,English Translation,Pronoun Annotation
Siya ay naghuhugas ng pinggan.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng pinggan.",They are washing the dishes.,"Pronoun = ""they,"" singular, gender-neutral"
Ang aso ay tumatahol sa labas. Ito ay maingay.,"Ang aso ay tumatahol sa labas. Ito [singular, non-human] ay maingay.",The dog is barking outside. It is noisy.,"Pronoun = ""it,"" singular, non-human"
Siya ay nag-eensayo ng sayaw.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng sayaw.",They are practicing a dance.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng volleyball.,"Sila [plural, third-person] ay naglalaro ng volleyball.",They are playing volleyball.,"Pronoun = ""they,"" plural"
Si Ana ay nag-aalaga ng halaman. Siya ay maingat.,"Si Ana ay nag-aalaga ng halaman. Siya [singular, third-person, gender-specific] ay maingat.",Ana is taking care of plants. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagbabasa ng magazine.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng magazine.",They are reading a magazine.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdidilig ng mga halaman.,"Sila [plural, third-person] ay nagdidilig ng mga halaman.",They are watering the plants.,"Pronoun = ""they,"" plural"
Si Juan ay naglalaro ng gitara. Siya ay masigasig.,"Si Juan ay naglalaro ng gitara. Siya [singular, third-person, gender-specific] ay masigasig.",Juan is playing the guitar. He is passionate.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagtuturo ng matematika.,"Siya [singular, third-person, gender-neutral] ay nagtuturo ng matematika.",They are teaching math.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nag-aawit ng kanta.,"Ang mga bata [plural, third-person] ay nag-aawit ng kanta.",The children are singing a song.,"Pronoun = ""they,"" plural"
Siya ay nagpi-picture sa tabing-dagat.,"Siya [singular, third-person, gender-neutral] ay nagpi-picture sa tabing-dagat.",They are taking photos at the beach.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng puno sa gubat.,"Sila [plural, third-person] ay nagtatanim ng puno sa gubat.",They are planting trees in the forest.,"Pronoun = ""they,"" plural"
Si Maria ay nagtatapos ng thesis. Siya ay masipag.,"Si Maria ay nagtatapos ng thesis. Siya [singular, third-person, gender-specific] ay masipag.",Maria is finishing her thesis. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagluluto ng adobo.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng adobo.",They are cooking adobo.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng kanilang aso.,"Sila [plural, third-person] ay nag-aalaga ng kanilang aso.",They are taking care of their dog.,"Pronoun = ""they,"" plural"
Si Pedro ay naglalaro ng chess. Siya ay matalino.,"Si Pedro ay naglalaro ng chess. Siya [singular, third-person, gender-specific] ay matalino.",Pedro is playing chess. He is intelligent.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay namimili ng prutas.,"Siya [singular, third-person, gender-neutral] ay namimili ng prutas.",They are buying fruits.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga isda ay naglalaro sa tubig.,"Ang mga isda [plural, non-human] ay naglalaro sa tubig.",The fish are playing in the water.,"Pronoun = ""they,"" plural, non-human"
Siya ay nanonood ng teatro.,"Siya [singular, third-person, gender-neutral] ay nanonood ng teatro.",They are watching a play.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-eensayo para sa konsiyerto.,"Sila [plural, third-person] ay nag-eensayo para sa konsiyerto.",They are rehearsing for the concert.,"Pronoun = ""they,"" plural"
Si Ana ay nagpaplano ng kasal. Siya ay abala.,"Si Ana ay nagpaplano ng kasal. Siya [singular, third-person, gender-specific] ay abala.",Ana is planning a wedding. She is busy.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aalaga ng bata.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng bata.",They are babysitting.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagsasayaw sa sayawan.,"Sila [plural, third-person] ay nagsasayaw sa sayawan.",They are dancing at the party.,"Pronoun = ""they,"" plural"
Siya ay nagpapakain ng pusa.,"Siya [singular, third-person, gender-neutral] ay nagpapakain ng pusa.",They are feeding the cat.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng gulay.,"Sila [plural, third-person] ay nagtatanim ng gulay.",They are planting vegetables.,"Pronoun = ""they,"" plural"
Si Juan ay nagpipinta ng bakod. Siya ay masipag.,"Si Juan ay nagpipinta ng bakod. Siya [singular, third-person, gender-specific] ay masipag.",Juan is painting the fence. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-eensayo ng violin.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng violin.",They are practicing the violin.,"Pronoun = ""they,"" singular, gender-neutral"
Ang kabayo ay tumatakbo sa pastulan. Ito ay malakas.,"Ang kabayo ay tumatakbo sa pastulan. Ito [singular, non-human] ay malakas.",The horse is running in the pasture. It is strong.,"Pronoun = ""it,"" singular, non-human"
Siya ay nagpapahinga sa duyan.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa duyan.",They are resting in the hammock.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-eensayo ng grupo.,"Sila [plural, third-person] ay nag-eensayo ng grupo.",They are rehearsing as a group.,"Pronoun = ""they,"" plural"
Si Ana ay naglilinis ng bintana. Siya ay maingat.,"Si Ana ay naglilinis ng bintana. Siya [singular, third-person, gender-specific] ay maingat.",Ana is cleaning the window. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-iigib ng tubig.,"Siya [singular, third-person, gender-neutral] ay nag-iigib ng tubig.",They are fetching water.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilibang sa tabing-dagat.,"Sila [plural, third-person] ay naglilibang sa tabing-dagat.",They are relaxing at the beach.,"Pronoun = ""they,"" plural"
Si Pedro ay nagsusulat ng tula. Siya ay malikhain.,"Si Pedro ay nagsusulat ng tula. Siya [singular, third-person, gender-specific] ay malikhain.",Pedro is writing a poem. He is creative.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagbibilang ng pera.,"Siya [singular, third-person, gender-neutral] ay nagbibilang ng pera.",They are counting money.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga tuta ay naglalaro sa damuhan.,"Ang mga tuta [plural, non-human] ay naglalaro sa damuhan.",The puppies are playing on the grass.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtitinda ng isda.,"Siya [singular, third-person, gender-neutral] ay nagtitinda ng isda.",They are selling fish.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdidiskubre ng bagong lugar.,"Sila [plural, third-person] ay nagdidiskubre ng bagong lugar.",They are discovering a new place.,"Pronoun = ""they,"" plural"
Si Maria ay nagpapabango. Siya ay kaaya-aya.,"Si Maria ay nagpapabango. Siya [singular, third-person, gender-specific] ay kaaya-aya.",Maria is putting on perfume. She is pleasant.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naglilinis ng sapatos.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng sapatos.",They are cleaning shoes.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa hardin.,"Sila [plural, third-person] ay nagkakape sa hardin.",They are having coffee in the garden.,"Pronoun = ""they,"" plural"
Siya ay gumagawa ng bagong proyekto.,"Siya [singular, third-person, gender-neutral] ay gumagawa ng bagong proyekto.",They are working on a new project.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay naghahanap ng pagkain.,"Ang mga ibon [plural, non-human] ay naghahanap ng pagkain.",The birds are looking for food.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aalaga ng lola.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng lola.",They are taking care of their grandmother.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpi-picnic sa parke.,"Sila [plural, third-person] ay nagpi-picnic sa parke.",They are having a picnic in the park.,"Pronoun = ""they,"" plural"
Si Ana ay naglalaba ng kurtina. Siya ay maingat.,"Si Ana ay naglalaba ng kurtina. Siya [singular, third-person, gender-specific] ay maingat.",Ana is washing curtains. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagpupunas ng mesa.,"Siya [singular, third-person, gender-neutral] ay nagpupunas ng mesa.",They are wiping the table.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aayos ng bulaklak.,"Sila [plural, third-person] ay nag-aayos ng bulaklak.",They are arranging flowers.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-iihaw ng isda. Siya ay magaling.,"Si Pedro ay nag-iihaw ng isda. Siya [singular, third-person, gender-specific] ay magaling.",Pedro is grilling fish. He is skilled.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aalaga ng ibon.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng ibon.",They are taking care of a bird.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kalabaw ay nagbubungkal ng lupa.,"Ang mga kalabaw [plural, non-human] ay nagbubungkal ng lupa.",The water buffaloes are tilling the land.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpiprito ng itlog.,"Siya [singular, third-person, gender-neutral] ay nagpiprito ng itlog.",They are frying an egg.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay namimitas ng prutas.,"Sila [plural, third-person] ay namimitas ng prutas.",They are picking fruits.,"Pronoun = ""they,"" plural"
Si Maria ay nagsusuklay ng buhok. Siya ay maganda.,"Si Maria ay nagsusuklay ng buhok. Siya [singular, third-person, gender-specific] ay maganda.",Maria is combing her hair. She is beautiful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagtatabas ng damo.,"Siya [singular, third-person, gender-neutral] ay nagtatabas ng damo.",They are cutting grass.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga baka ay naglalakad sa kabukiran.,"Ang mga baka [plural, non-human] ay naglalakad sa kabukiran.",The cows are walking in the fields.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagsusuklay ng buhok sa umaga.,"Siya [singular, third-person, gender-neutral] ay nagsusuklay ng buhok sa umaga.",They are combing their hair in the morning.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aayos ng mesa.,"Sila [plural, third-person] ay nag-aayos ng mesa.",They are setting the table.,"Pronoun = ""they,"" plural"
Si Juan ay nagkakarga ng kahoy. Siya ay malakas.,"Si Juan ay nagkakarga ng kahoy. Siya [singular, third-person, gender-specific] ay malakas.",Juan is carrying wood. He is strong.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagtitinda ng kakanin.,"Siya [singular, third-person, gender-neutral] ay nagtitinda ng kakanin.",They are selling snacks.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilinis ng aquarium.,"Sila [plural, third-person] ay naglilinis ng aquarium.",They are cleaning the aquarium.,"Pronoun = ""they,"" plural"
Si Ana ay nag-eensayo ng piano. Siya ay magaling.,"Si Ana ay nag-eensayo ng piano. Siya [singular, third-person, gender-specific] ay magaling.",Ana is practicing piano. She is good.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aayos ng bulaklak.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng bulaklak.",They are arranging flowers.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga manok ay naghahanap ng pagkain.,"Ang mga manok [plural, non-human] ay naghahanap ng pagkain.",The chickens are searching for food.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aalaga ng kuneho.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng kuneho.",They are taking care of a rabbit.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakabit ng kurtina.,"Sila [plural, third-person] ay nagkakabit ng kurtina.",They are hanging curtains.,"Pronoun = ""they,"" plural"
Si Pedro ay nagpapaligo ng aso. Siya ay maingat.,"Si Pedro ay nagpapaligo ng aso. Siya [singular, third-person, gender-specific] ay maingat.",Pedro is bathing a dog. He is careful.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-eensayo ng banda.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng banda.",They are practicing with the band.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kambing ay nag-iingay sa bukid.,"Ang mga kambing [plural, non-human] ay nag-iingay sa bukid.",The goats are making noise in the field.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtatanim ng palay.,"Siya [singular, third-person, gender-neutral] ay nagtatanim ng palay.",They are planting rice.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-uusap sa plaza.,"Sila [plural, third-person] ay nag-uusap sa plaza.",They are chatting in the plaza.,"Pronoun = ""they,"" plural"
Si Ana ay nagsusukat ng damit. Siya ay maingat.,"Si Ana ay nagsusukat ng damit. Siya [singular, third-person, gender-specific] ay maingat.",Ana is trying on clothes. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagsasabit ng dekorasyon.,"Siya [singular, third-person, gender-neutral] ay nagsasabit ng dekorasyon.",They are hanging decorations.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng badminton.,"Sila [plural, third-person] ay naglalaro ng badminton.",They are playing badminton.,"Pronoun = ""they,"" plural"
Si Pedro ay nagmamaneho ng motorsiklo. Siya ay mahusay.,"Si Pedro ay nagmamaneho ng motorsiklo. Siya [singular, third-person, gender-specific] ay mahusay.",Pedro is riding a motorcycle. He is skilled.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naghuhugas ng sasakyan.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng sasakyan.",They are washing the car.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga alitaptap ay nagliliwanag sa gabi.,"Ang mga alitaptap [plural, non-human] ay nagliliwanag sa gabi.",The fireflies are glowing at night.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpapakain ng mga kalapati.,"Siya [singular, third-person, gender-neutral] ay nagpapakain ng mga kalapati.",They are feeding pigeons.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng halaman sa paso.,"Sila [plural, third-person] ay nag-aalaga ng halaman sa paso.",They are taking care of potted plants.,"Pronoun = ""they,"" plural"
Si Maria ay naglilinis ng sala. Siya ay masipag.,"Si Maria ay naglilinis ng sala. Siya [singular, third-person, gender-specific] ay masipag.",Maria is cleaning the living room. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naglalaro ng computer game.,"Siya [singular, third-person, gender-neutral] ay naglalaro ng computer game.",They are playing a computer game.,"Pronoun = ""they,"" singular, gender-neutral"
Siya ay nagluluto ng sopas.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng sopas.",They are cooking soup.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilinis ng bubong.,"Sila [plural, third-person] ay naglilinis ng bubong.",They are cleaning the roof.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aalaga ng baka. Siya ay masipag.,"Si Pedro ay nag-aalaga ng baka. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is caring for a cow. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagtitimpla ng kape.,"Siya [singular, third-person, gender-neutral] ay nagtitimpla ng kape.",They are making coffee.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay naglalaro ng tagu-taguan.,"Ang mga bata [plural, third-person] ay naglalaro ng tagu-taguan.",The children are playing hide-and-seek.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng araw.,"Siya [singular, third-person, gender-neutral] ay nanonood ng araw.",They are watching the sunset.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-iimpake ng gamit.,"Sila [plural, third-person] ay nag-iimpake ng gamit.",They are packing their things.,"Pronoun = ""they,"" plural"
Si Ana ay nagtatabas ng mga halaman. Siya ay maingat.,"Si Ana ay nagtatabas ng mga halaman. Siya [singular, third-person, gender-specific] ay maingat.",Ana is trimming plants. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagwawalis ng bakuran.,"Siya [singular, third-person, gender-neutral] ay nagwawalis ng bakuran.",They are sweeping the yard.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay kumakain ng butil.,"Ang mga ibon [plural, non-human] ay kumakain ng butil.",The birds are eating grains.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtatahi ng mga kurtina.,"Siya [singular, third-person, gender-neutral] ay nagtatahi ng mga kurtina.",They are sewing curtains.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtuturo sa mga mag-aaral.,"Sila [plural, third-person] ay nagtuturo sa mga mag-aaral.",They are teaching the students.,"Pronoun = ""they,"" plural"
Si Juan ay nagpaplano ng proyekto. Siya ay matalino.,"Si Juan ay nagpaplano ng proyekto. Siya [singular, third-person, gender-specific] ay matalino.",Juan is planning a project. He is smart.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-eensayo ng martial arts.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng martial arts.",They are practicing martial arts.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay sumasayaw sa kalye.,"Ang mga bata [plural, third-person] ay sumasayaw sa kalye.",The children are dancing on the street.,"Pronoun = ""they,"" plural"
Siya ay nagpipinta ng kwarto.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng kwarto.",They are painting a room.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghahanap ng kabute sa gubat.,"Sila [plural, third-person] ay naghahanap ng kabute sa gubat.",They are foraging for mushrooms in the forest.,"Pronoun = ""they,"" plural"
Si Maria ay nagdidisplay ng laruan. Siya ay masayahin.,"Si Maria ay nagdidisplay ng laruan. Siya [singular, third-person, gender-specific] ay masayahin.",Maria is displaying toys. She is cheerful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagbubuhos ng tubig sa halaman.,"Siya [singular, third-person, gender-neutral] ay nagbubuhos ng tubig sa halaman.",They are watering a plant.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga tuta ay natutulog sa basket.,"Ang mga tuta [plural, non-human] ay natutulog sa basket.",The puppies are sleeping in the basket.,"Pronoun = ""they,"" plural, non-human"
Siya ay naghuhugas ng kamay.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng kamay.",They are washing their hands.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng party.,"Sila [plural, third-person] ay nagpaplano ng party.",They are planning a party.,"Pronoun = ""they,"" plural"
Si Pedro ay gumagawa ng cake. Siya ay magaling.,"Si Pedro ay gumagawa ng cake. Siya [singular, third-person, gender-specific] ay magaling.",Pedro is making a cake. He is good at it.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagbabasa ng pahayagan.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng pahayagan.",They are reading the newspaper.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalakad papunta sa tindahan.,"Sila [plural, third-person] ay naglalakad papunta sa tindahan.",They are walking to the store.,"Pronoun = ""they,"" plural"
Si Ana ay nagsasampay ng mga damit. Siya ay masipag.,"Si Ana ay nagsasampay ng mga damit. Siya [singular, third-person, gender-specific] ay masipag.",Ana is hanging clothes. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagpapahinga sa tabi ng lawa.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa tabi ng lawa.",They are resting by the lake.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng kambing.,"Sila [plural, third-person] ay nag-aalaga ng kambing.",They are taking care of goats.,"Pronoun = ""they,"" plural"
Si Maria ay nagtitinda ng prutas sa palengke. Siya ay magalang.,"Si Maria ay nagtitinda ng prutas sa palengke. Siya [singular, third-person, gender-specific] ay magalang.",Maria is selling fruits in the market. She is polite.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naglilinis ng pintuan.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng pintuan.",They are cleaning the door.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng tupa.,"Sila [plural, third-person] ay nag-aalaga ng tupa.",They are taking care of sheep.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aayos ng bisikleta. Siya ay mahusay.,"Si Pedro ay nag-aayos ng bisikleta. Siya [singular, third-person, gender-specific] ay mahusay.",Pedro is fixing a bike. He is skilled.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagdidilig ng mga halaman.,"Siya [singular, third-person, gender-neutral] ay nagdidilig ng mga halaman.",They are watering the plants.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay naghaharutan sa bakuran.,"Ang mga pusa [plural, non-human] ay naghaharutan sa bakuran.",The cats are playing in the yard.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-eensayo ng bagong kanta.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng bagong kanta.",They are practicing a new song.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghahanap ng matitirhan.,"Sila [plural, third-person] ay naghahanap ng matitirhan.",They are looking for a place to stay.,"Pronoun = ""they,"" plural"
Si Maria ay nag-aalaga ng anak. Siya ay mapagmahal.,"Si Maria ay nag-aalaga ng anak. Siya [singular, third-person, gender-specific] ay mapagmahal.",Maria is caring for her child. She is loving.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aayos ng kanyang sapatos.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng kanyang sapatos.",They are organizing their shoes.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng puno ng mangga.,"Sila [plural, third-person] ay nagtatanim ng puno ng mangga.",They are planting mango trees.,"Pronoun = ""they,"" plural"
Siya ay naghuhugas ng mga plato.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng mga plato.",They are washing the dishes.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga manok ay nangingitlog sa pugad.,"Ang mga manok [plural, non-human] ay nangingitlog sa pugad.",The chickens are laying eggs in the nest.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtitinda ng gulay sa palengke.,"Siya [singular, third-person, gender-neutral] ay nagtitinda ng gulay sa palengke.",They are selling vegetables at the market.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabakasyon sa probinsya.,"Sila [plural, third-person] ay nagbabakasyon sa probinsya.",They are vacationing in the province.,"Pronoun = ""they,"" plural"
Si Pedro ay nagtatayo ng kubo. Siya ay malikhain.,"Si Pedro ay nagtatayo ng kubo. Siya [singular, third-person, gender-specific] ay malikhain.",Pedro is building a hut. He is creative.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aalaga ng isda sa aquarium.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng isda sa aquarium.",They are taking care of fish in the aquarium.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalakad sa kabundukan.,"Sila [plural, third-person] ay naglalakad sa kabundukan.",They are hiking in the mountains.,"Pronoun = ""they,"" plural"
Si Maria ay nagpi-picnic sa parke. Siya ay masaya.,"Si Maria ay nagpi-picnic sa parke. Siya [singular, third-person, gender-specific] ay masaya.",Maria is having a picnic in the park. She is happy.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagdidisplay ng kanyang likha.,"Siya [singular, third-person, gender-neutral] ay nagdidisplay ng kanyang likha.",They are displaying their creations.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga baka ay nagpapahinga sa ilalim ng puno.,"Ang mga baka [plural, non-human] ay nagpapahinga sa ilalim ng puno.",The cows are resting under the tree.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aaral ng bagong wika.,"Siya [singular, third-person, gender-neutral] ay nag-aaral ng bagong wika.",They are learning a new language.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdiriwang ng anibersaryo.,"Sila [plural, third-person] ay nagdiriwang ng anibersaryo.",They are celebrating an anniversary.,"Pronoun = ""they,"" plural"
Si Pedro ay naglilinis ng bodega. Siya ay masipag.,"Si Pedro ay naglilinis ng bodega. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is cleaning the storage room. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aalaga ng mga bata.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng mga bata.",They are babysitting children.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-oorganisa ng event.,"Sila [plural, third-person] ay nag-oorganisa ng event.",They are organizing an event.,"Pronoun = ""they,"" plural"
Si Maria ay gumagawa ng dekorasyon. Siya ay malikhain.,"Si Maria ay gumagawa ng dekorasyon. Siya [singular, third-person, gender-specific] ay malikhain.",Maria is making decorations. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naglilinis ng kanyang laptop.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng kanyang laptop.",They are cleaning their laptop.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kabayo ay nagtatakbuhan sa kabukiran.,"Ang mga kabayo [plural, non-human] ay nagtatakbuhan sa kabukiran.",The horses are running in the countryside.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-eensayo para sa paligsahan.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo para sa paligsahan.",They are practicing for the competition.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng field trip.,"Sila [plural, third-person] ay nagpaplano ng field trip.",They are planning a field trip.,"Pronoun = ""they,"" plural"
Siya ay nag-aayos ng libro sa shelf.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng libro sa shelf.",They are organizing books on the shelf.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng card games.,"Sila [plural, third-person] ay naglalaro ng card games.",They are playing card games.,"Pronoun = ""they,"" plural"
Si Pedro ay nagsusulat ng kuwento. Siya ay malikhain.,"Si Pedro ay nagsusulat ng kuwento. Siya [singular, third-person, gender-specific] ay malikhain.",Pedro is writing a story. He is creative.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagliligpit ng laruan.,"Siya [singular, third-person, gender-neutral] ay nagliligpit ng laruan.",They are putting away toys.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nagpipintura ng pader.,"Ang mga bata [plural, third-person] ay nagpipintura ng pader.",The children are painting the wall.,"Pronoun = ""they,"" plural"
Siya ay naghahanap ng recipe.,"Siya [singular, third-person, gender-neutral] ay naghahanap ng recipe.",They are looking for a recipe.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-iihaw ng manok.,"Sila [plural, third-person] ay nag-iihaw ng manok.",They are grilling chicken.,"Pronoun = ""they,"" plural"
Si Maria ay nag-aalaga ng mga halaman. Siya ay maingat.,"Si Maria ay nag-aalaga ng mga halaman. Siya [singular, third-person, gender-specific] ay maingat.",Maria is taking care of plants. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagbabalot ng regalo.,"Siya [singular, third-person, gender-neutral] ay nagbabalot ng regalo.",They are wrapping a gift.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kalabaw ay nagtutulungan sa bukid.,"Ang mga kalabaw [plural, non-human] ay nagtutulungan sa bukid.",The water buffaloes are helping each other in the field.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-eensayo ng bagong sayaw.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng bagong sayaw.",They are practicing a new dance.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-uusap tungkol sa proyekto.,"Sila [plural, third-person] ay nag-uusap tungkol sa proyekto.",They are talking about the project.,"Pronoun = ""they,"" plural"
